Date,Open,High,Low,Close,Adj Close,Volume
2022-01-17,0.175000,0.190000,0.170000,0.180000,0.180000,5295722
2022-01-18,0.185000,0.185000,0.175000,0.175000,0.175000,1812359
2022-01-19,0.175000,0.175000,0.170000,0.170000,0.170000,1216220
2022-01-20,0.170000,0.180000,0.170000,0.170000,0.170000,1179655
2022-01-21,0.175000,0.175000,0.165000,0.165000,0.165000,2177535
2022-01-24,0.165000,0.170000,0.160000,0.160000,0.160000,3012931
2022-01-25,0.160000,0.170000,0.157500,0.160000,0.160000,2753153
2022-01-27,0.160000,0.165000,0.150000,0.150000,0.150000,3168698
2022-01-28,0.150000,0.170000,0.150000,0.165000,0.165000,2298769
2022-01-31,0.170000,0.170000,0.162500,0.165000,0.165000,1492492
2022-02-01,0.165000,0.175000,0.160000,0.165000,0.165000,2645743
2022-02-02,0.165000,0.175000,0.160000,0.165000,0.165000,4109138
2022-02-03,0.170000,0.170000,0.155000,0.160000,0.160000,3897763
2022-02-04,0.155000,0.165000,0.155000,0.160000,0.160000,707580
2022-02-07,0.160000,0.160000,0.155000,0.155000,0.155000,863496
2022-02-08,0.160000,0.162500,0.155000,0.155000,0.155000,777460
2022-02-09,0.155000,0.165000,0.155000,0.165000,0.165000,1187582
2022-02-10,0.160000,0.165000,0.160000,0.160000,0.160000,648112
2022-02-11,0.165000,0.165000,0.160000,0.160000,0.160000,308887
2022-02-14,0.160000,0.160000,0.155000,0.155000,0.155000,865006
2022-02-15,0.155000,0.160000,0.155000,0.160000,0.160000,330903
2022-02-16,0.160000,0.160000,0.155000,0.155000,0.155000,813257
2022-02-17,0.155000,0.155000,0.150000,0.150000,0.150000,2283021
2022-02-18,0.150000,0.152500,0.145000,0.145000,0.145000,3112436
2022-02-21,0.145000,0.150000,0.140000,0.150000,0.150000,1956921
2022-02-22,0.150000,0.150000,0.140000,0.145000,0.145000,1850552
2022-02-23,0.140000,0.145000,0.137500,0.140000,0.140000,967004
2022-02-24,0.140000,0.145000,0.130000,0.130000,0.130000,3612221
2022-02-25,0.140000,0.160000,0.140000,0.150000,0.150000,3607898
2022-02-28,0.160000,0.175000,0.160000,0.175000,0.175000,5583185
2022-03-01,0.180000,0.190000,0.175000,0.185000,0.185000,7842893
2022-03-02,0.180000,0.185000,0.170000,0.170000,0.170000,4645225
2022-03-03,0.175000,0.175000,0.165000,0.165000,0.165000,1813136
2022-03-04,0.165000,0.170000,0.155000,0.160000,0.160000,3489537
2022-03-07,0.160000,0.160000,0.145000,0.145000,0.145000,5679694
2022-03-08,0.150000,0.160000,0.145000,0.160000,0.160000,2592419
2022-03-09,0.160000,0.165000,0.155000,0.155000,0.155000,1337369
